,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
434,Life's a Breeze ,"Fionnula Flanagan, Pat Shortt, Eva Birthistle, Kelly Thornton, Geoff Minogue, Philip Judge, Gerry McCann, Lesley Conroy",R,19th February 2015            ,"A cash-strapped Irish clan inadvertently discards a mattress that's stuffed with nearly a million euros, igniting a wild goose chase to find it again.",Lance Daly,1hr 23m,,"Dramas, Irish Films, Comedies",6.3/10,http://www.imdb.com/title/tt2132374/,https://art-s.nflximg.net/b44e7/fd9114fa819c41efab0c3accbf188caae6ab44e7.jpg,3.4/5,2013
435,Lilo & Stitch ,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames, Zoe Caldwell, Jason Scott Lee, Kevin Michael Richardson",PG,Unknown Date            ,Disney's song-filled animated comedy follows a lonely Hawaiian girl named Lilo who adopts a funny-looking dog and doesn't realize it's a wacky alien.,"Dean DeBlois, Chris Sanders",1hr 25m,,"Films for ages 5 to 7, Family Sci-Fi & Fantasy, Films for ages 8 to 10, Family Comedies, Children & Family Films, Disney, Comedies",7.2/10,http://www.imdb.com/title/tt0275847/,https://art-s.nflximg.net/c6125/ff936747e6fbba6362e241d0c6af4584eebc6125.jpg,4.1/5,2002
436,Mac & Devin Go to High School ,"Snoop Dogg, Mike Epps, Luenell, Teairra Mari, Wiz Khalifa, Derek Kane, Mystikal, Andy Milonakis, Paul Iacono, Teni Panosian",R,23rd April 2016            ,"Devin Overstreet may be the class valedictorian, but he hasn't had much life experience. Enter Mac Johnson, a 10th-year senior and weed dealer.",Dylan C. Brown,1hr 15m,,"Late Night Comedies, Comedies",4.5/10,http://www.imdb.com/title/tt1870425/,https://art-s.nflximg.net/6e72d/b9d8eedf15e12007ec5bb903385f1a1d03a6e72d.jpg,3.6/5,2012
437,Made in China ,"Norma Angelica, Odiseo Bichir, Claudia Ramirez, Carlos Cobos, Eduardo España, Victor Hernandez, Mario Zaragoza, Omar Fierro, Francisco Colmenero, Takahiro Murokawa",NR,1st September 2015            ,"His dreams shattered and his restaurant in trouble with the Chinese mob, Marcos hits the road to attend the wedding of his long-ago true love.",Gabriel Guzmán,1hr 33m,,"Dramas, Comedies, International Comedies",http://www.imdb.com/title/tt2296849/,http://www.imdb.com/title/tt2296849/,https://art-s.nflximg.net/49353/6a7a03a9ae9c616df03dbed4fde55ed078149353.jpg,2.6/5,2012
438,The Magic Crystal ,"Kyle Christensen, Clarissa Humm, Lisa Kent, Gerald Owens",TV-G,Unknown Date            ,"A powerful crystal that helps Santa deliver all his gifts in one night disappears, and without it, this year's holiday is doomed.",Antti Haikala,1hr 16m,,"Films for ages 5 to 7, Family Adventures, Scandinavian Films, Family Features, Family Sci-Fi & Fantasy, Films for ages 11 to 12, Films for ages 8 to 10, Family Feature Animation, Children & Family Films, Family Comedies, Comedies",4/10,http://www.imdb.com/title/tt0986361/,https://art-s.nflximg.net/3471f/164533c5cc3de1f052d2c5ddfb8803d3c1f3471f.jpg,3.5/5,2013
439,The Magic of Belle Isle ,"Morgan Freeman, Virginia Madsen, Madeline Carroll, Emma Fuhrmann, Nicolette Pierini, Kenan Thompson, Fred Willard, Ash Christian, Kevin Pollack, Jessica Hecht, Boyd Holbrook, Debargo Sanyal",PG,Unknown Date            ,A burned-out author finds his creative passion renewed when he moves to quaint Belle Isle and befriends a single mother and her three daughters.,Rob Reiner,1hr 49m,,"Dramas, Comedies",7/10,http://www.imdb.com/title/tt1839654/,https://art-s.nflximg.net/ac502/355c713318e724aa48135ce751d99a5708aac502.jpg,4.2/5,2012
440,Maid in Manhattan ,"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci, Tyler Posey, Frances Conroy, Chris Eigeman, Amy Sedaris, Marissa Matrone, Priscilla Lopez, Bob Hoskins",PG-13,Unknown Date            ,Sparks fly when a chambermaid and a rising politician literally collide at a posh New York City hotel. The only problem? He assumes she's a guest.,Wayne Wang,1hr 45m,,"Romantic Favourites, Romantic Comedies, Comedies, Romantic Films",5/10,http://www.imdb.com/title/tt0252076/,https://art-s.nflximg.net/de6ce/54d7c68d5494110231c460691076e729480de6ce.jpg,3.2/5,2002
441,Major League ,"Tom Berenger, Corbin Bernsen, James Gammon, Charlie Sheen, Rene Russo, Margaret Whitton, Charles Cyphers, Dennis Haysbert, Chelcie Ross, Wesley Snipes, Bob Uecker",R,3rd November 2015            ,"With a roster of misfit players, a baseball team owner is banking on a losing season but underestimates the motley crew's will to succeed.",David S. Ward,1hr 46m,,"Late Night Comedies, Sports Comedies, Comedies",7.2/10,http://www.imdb.com/title/tt0097815/,https://art-s.nflximg.net/e75b0/eb1f3e3e6774b1124da5c4d9f662eae2956e75b0.jpg,3.7/5,1989
442,Makkhi ,"Sudeep, Hamsa Nandini, Devadarshini Chetan, Nani, Samantha Ruth Prabhu, Adithya, Abhirami, Srinivasa Reddy",NR,2nd June 2016            ,"When a ruthless billionaire kills a man in a bid to steal the woman he loves, he's reborn as a common housefly with a taste for revenge.",S.S. Rajamouli,1hr 59m,,"Action & Adventure, Action Comedies, International Action & Adventure",http://www.imdb.com/title/tt3240270/,http://www.imdb.com/title/tt3240270/,https://art-s.nflximg.net/144bb/d988b19dcd5696d42fff2af094ba28d105a144bb.jpg,3.4/5,2012
443,Malcolm in the Middle ,"Frankie Muniz, Bryan Cranston, Jane Kaczmarek, Justin Berfield, Erik Per Sullivan, Christopher Masterson, Craig Lamar Traylor, David Anthony Higgins, James Rodriguez, Lukas Rodriguez",TV-14,Unknown Date            ,"While navigating the perils of adolescence, wunderkind Malcolm also grapples with a suburban family that gives new meaning to the word dysfunctional.",,7 Seasons,22min                ,"Sitcoms, TV Programmes, TV Comedies",8/10,http://www.imdb.com/title/tt0212671/,https://art-s.nflximg.net/18da7/0974d0a7c13d490f749948b030890a7872d18da7.jpg,3.9/5,2005
444,Man of the House ,"Tommy Lee Jones, Cedric the Entertainer, Christina Milian, Paula Garcés, Monica Keena, Vanessa Ferlito, Kelli Garner, Anne Archer, Brian Van Holt, Shea Whigham",PG-13,Unknown Date            ,Texas Ranger Roland Sharp finds himself college bound when he's tapped to protect a boisterous group of University of Texas cheerleaders.,Stephen Herek,1hr 39m,,"Sports Films, Sports Comedies, Action Comedies, Action & Adventure, Comedies, Crime Action & Adventure",5.4/10,http://www.imdb.com/title/tt0331933/,https://art-s.nflximg.net/36e90/0312013a6be72faba80fdccac0141f9b0e636e90.jpg,3.5/5,2005
445,The Man on Her Mind ,"Amy McAllister, Samuel James, Georgia Mackenzie, Shane Attwooll",NR,15th February 2015            ,"Preferring fantasy to reality, Nellie conjures up an imaginary version of her suitor, Leonard, who has also created an idealized version of her.","Bruce Guthrie, Alan Hruska",1hr 38m,,"Romantic Dramas, Independent Comedies, Quirky Romance, Dramas, Romantic Independent Films, Independent Films, Independent Dramas, Romantic Comedies, Romantic Films, Comedies",4.4/10,http://www.imdb.com/title/tt3058212/,https://art-s.nflximg.net/5dde2/ff5ad3b3a7030238b999cf639d2dbbb5e135dde2.jpg,2.3/5,2014
446,Man Up ,"Justin Chon, Galadriel Stineman, Kevin Wu, Amy Hill, Dion Basco, Samantha Futerman, Gerry Bednob, Parvesh Cheena, Nichole Bloom, Patrick Jeppeson",NR,6th July 2015            ,"After graduating from high school, Martin can't wait to slack off all summer. But when his girlfriend gets pregnant, he has to grow up in a hurry.",Justin Chon,1hr 23m,,"Independent Comedies, Independent Films, Comedies",http://www.imdb.com/title/tt3714712/,http://www.imdb.com/title/tt3714712/,https://art-s.nflximg.net/d1502/4f47be2293dac47147e3bc55ab2c9e6e1c1d1502.jpg,3.3/5,2014
447,Man Up ,"Olivia Williams, Rory Kinnear, Lake Bell, Simon Pegg, Henry Lloyd-Hughes, Ophelia Lovibond, Ken Stott, Harriet Walter, Stephen Campbell Moore, Sharon Horgan, Phoebe Waller-Bridge, Dean-Charles Chapman",R,6th March 2016            ,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",Ben Palmer,1hr 28m,,"Romantic Comedies, Comedies, Romantic Films",6.8/10,http://www.imdb.com/title/tt3064298/,https://art-s.nflximg.net/1780c/318d08f08d8b54ddd1c1ac34c5567f29d6f1780c.jpg,4/5,2015
448,Manhattan Romance ,"Gaby Hoffmann, Zach Grenier, Louis Cancelmi, Katherine Waterston, Caitlin Fitzgerald, Tom O'Brien",TV-14,31st December 2015            ,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,Tom O'Brien,1hr 37m,,"Romantic Comedies, Comedies, Independent Films",5.4/10,http://www.imdb.com/title/tt2608324/,https://art-s.nflximg.net/9269e/4e9d599590bea31a3795b3c718057647a829269e.jpg,2.8/5,2014
449,Mansfield Park ,"Frances O'Connor, Jonny Lee Miller, Alessandro Nivola, Embeth Davidtz, Harold Pinter, Lindsay Duncan, Sheila Gish, James Purefoy, Hugh Bonneville",PG-13,Unknown Date            ,"A poor heroine is sent to live with wealthy relatives in 1800s England, where her wit and writing talent find the room, and circumstance, to grow.",Patricia Rozema,1hr 51m,,"Dramas based on a book, Romantic Dramas, Period Pieces, British Films, Dramas based on classic literature, Dramas, Romantic Comedies, Comedies, Romantic Films",7.1/10,http://www.imdb.com/title/tt0178737/,https://art-s.nflximg.net/4e48e/79babeb7bedac34c1d5cccfa41912ef35fc4e48e.jpg,3.8/5,1999
450,Manson Family Vacation ,"Tobin Bell, Jay Duplass, Linas Phillips, Davie-Blue, Leonora Pitts, Adam Chernick, Suzanne Ford",NR,27th October 2015            ,"The pleasant family life of an L.A. attorney is disrupted by the sudden arrival of his brother, who is obsessed with the Charles Manson murders.",J. Davis,1hr 24m,,"Dark Comedies, Dramas, Comedies",5.8/10,http://www.imdb.com/title/tt3275216/,https://art-s.nflximg.net/eb04f/ca29334958907c0b7a0faab5b332d475fa3eb04f.jpg,3/5,2015
451,Marc Maron: Thinky Pain ,Marc Maron,NR,Unknown Date            ,"Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend.",Lance Bangs,1hr 34m,,"Stand-up Comedy, Comedies",7.5/10,http://www.imdb.com/title/tt3004634/,https://art-s.nflximg.net/e51bd/a9edd2fe9af7fa6abbf47c9b1ffc15b37fce51bd.jpg,3.7/5,2013
452,Maria Bamford: The Special Special Special ,"Maria Bamford, Wayne Federman, Jackie Kashian",NR,Unknown Date            ,"Spend an evening with gleeful, oh-so-awkward Maria Bamford via her cozy, shot-at-home comedy special, which has a two-person audience: her parents.",Jordan Brady,49m,,"Female Stand-up Comedy, Stand-up Comedy, Comedies",7.1/10,http://www.imdb.com/title/tt2546038/,https://art-s.nflximg.net/4e41d/62acf18527469543a141ae2329c221d09854e41d.jpg,3.5/5,2012
453,Maria de todos los Angeles ,"Mara Escalante, Carlos Cobos, Ariel Miramontes, Beng Zeng Wong, Alma Cero, Montserrat Marañon",TV-PG,11th July 2016            ,Maria dreams of finding the love of her life and asks the angels for help. They respond by giving her clues in her dreams to find Albertano.,,1 Season,23min                ,"TV Programmes, TV Comedies, Spanish-Language TV Shows",8.1/10,http://www.imdb.com/title/tt1487513/,https://art-s.nflximg.net/e50b7/e5923d99ae8b486018d10b0d4f364c04837e50b7.jpg,3.8/5,2009
454,Maron ,"Judd Hirsch, Nora Zehetner, Andy Kindler, Marc Maron, Josh Brener",TV-MA,15th September 2014            ,"Marc Maron stars as Marc Maron, who interviews fellow comedians for his popular podcast, only to reveal more about his own neuroses and relationships.",,3 Seasons,22min                ,"TV Programmes, Sitcoms, TV Comedies",7.8/10,http://www.imdb.com/title/tt2520512/,https://art-s.nflximg.net/e7371/1bb90637168b2161a3cc5b13db7e361120de7371.jpg,3.9/5,2015
455,The Marriage Chronicles ,"Jazsmin Lewis, Darrin Dewitt Henson, Terri J. Vaughn, Persia White, Caryn Ward, Clifton Powell, Billy 'Sly' Williams, Anthony Grant, Ayo Sorrells",NR,Unknown Date            ,"Desperate to save their marriages, three couples go on an exclusive and extreme couples retreat with a prominent psychologist and her sexy husband.",Paul Hannah,1hr 49m,,"Romantic Dramas, Dramas, Romantic Comedies, Comedies, Romantic Films",5/10,http://www.imdb.com/title/tt2137376/,https://art-s.nflximg.net/918b8/b64d45c696e7908286fa70d64dd4410d078918b8.jpg,3.6/5,2012
456,Marry Me for Christmas ,"Malinda Williams, Tamara LaSeon Bass, Jason Weaver, Carl Anthony Payne II, Brad James, Karon Joseph, Victoria Rowell, Gregory Alan Williams",TV-PG,17th November 2015            ,A New York career woman who's tired of her family pressuring her to get married convinces a handsome employee to pose as her fiancé for the holidays.,Roger Melvin,1hr 26m,,"Romantic Comedies, Comedies, Romantic Films",5.7/10,http://www.imdb.com/title/tt3458194/,https://art-s.nflximg.net/2829d/b83066496373bedf66acccfce7acbae76582829d.jpg,3.7/5,2013
457,The Marziano Family ,"Mercedes Morán, Arturo Puig, Rita Cortese, Guillermo Francella, Claudia Cantero, Facundo Lombard, Daniel Hendler, Martín Lombard, Abian Vainstein, Rebecca Deering, Marcos Montes",NR,10th January 2016            ,"A down-and-out loner is too poor to afford treatment for a mysterious ailment, so he seeks out the help of his wealthy, estranged brother.",Ana Katz,1hr 29m,,"Dramas, Comedies, International Comedies",,,https://art-s.nflximg.net/0dd0a/3fca4354ce894f7315eb2ea583dfb63239c0dd0a.jpg,2/5,2011
458,Master of None ,"H. Jon Benjamin, Kelvin Yu, Eric Wareheim, Aziz Ansari, Noël Wells, Lena Waithe, Fatima Ansari, Shoukath Ansari",TV-MA,6th November 2015            ,"New Yorker Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",,1 Season,29min                ,"TV Programmes, Sitcoms, TV Comedies",http://www.imdb.com/title/tt4630404/,http://www.imdb.com/title/tt4630404/,https://art-s.nflximg.net/1c894/98d7a343cd03e815aff851836a9b83cd73e1c894.jpg,4.3/5,2015
459,Matt Braunger: Big Dumb Animal ,Matt Braunger,TV-MA,19th September 2015            ,"Live at the Bell House in Brooklyn, comic Matt Braunger offers an absurdist glimpse at anger problems, his overly nice hometown and other topics.",Steven Feinartz,1hr 6m,,"Comedies, Stand-up Comedy",7.3/10,http://www.imdb.com/title/tt3960808/,https://art-s.nflximg.net/325f1/87ac6166ddf5ee1cbd48640972ba7346a0e325f1.jpg,4.1/5,2015
460,Matters Arising ,"Majid Michel, Ruth Kadiri, Chizoba Michael",NR,10th April 2015            ,"When a thrift collector completely disregards his marriage and family responsibilities by chasing after a young vixen, his wife aims to make him pay.",Paschal Amanfo,1hr 23m,,"Romantic Dramas, International Comedies, International Dramas, Dramas, African Films, International Movies, Romantic Comedies, Romantic Films, Comedies",,,https://art-s.nflximg.net/1f64d/88b9abac4f2eaf71aca11182f1d2b9162f21f64d.jpg,3.3/5,2014
461,May in the Summer ,"Cherien Dabis, Hiam Abbass, Bill Pullman, Alia Shawkat, Nadine Malouf, Alexander Siddig, Ritu Singh Pande",R,14th March 2015            ,"Set to wed a fellow Arab American, May faces the disapproval of her evangelical Christian mother, who doesn't want her daughter to marry a Muslim man.",Cherien Dabis,1hr 39m,,"Dramas, Comedies",5.7/10,http://www.imdb.com/title/tt2492664/,https://art-s.nflximg.net/615c0/6304b67cdd9ed1b755c0fdd1883e078caab615c0.jpg,3.1/5,2013
462,Maz Jobrani: Brown and Friendly ,Maz Jobrani,TV-MA,25th January 2016            ,Iranian-American comedian Maz Jobrani offers up his unique perspective on stereotypes and other contemporary issues in this stand-up special.,Brent Carpenter,1hr 4m,,"Comedies, Stand-up Comedy",8.1/10,http://www.imdb.com/title/tt1621819/,https://art-s.nflximg.net/71b45/a895997c960b860eeb0666897fe7e91793871b45.jpg,3.3/5,2009
463,Me and You and Everyone We Know ,"John Hawkes, Miranda July, Miles Thompson, Brandon Ratcliff, Carlie Westerman, Hector Elias, Brad William Henke, Natasha Slayton, Najarra Townsend, Tracy Wright, JoNell Kennedy, Ellen Geer, Colette Kilroy, James Kayten",R,Unknown Date            ,Eccentric Christine seeks emotional connections in the modern world while newly single shoe salesman Richard copes with his recent separation.,Miranda July,1hr 31m,,"Romantic Dramas, Independent Comedies, Quirky Romance, Dramas, Romantic Independent Films, Independent Films, Independent Dramas, Romantic Comedies, Comedies, Romantic Films",7.4/10,http://www.imdb.com/title/tt0415978/,https://art-s.nflximg.net/5fde2/e99bd099fcc0e953880d30a3c4979f814555fde2.jpg,3.4/5,2005
464,Me Him Her ,"Scott Bakula, Alia Shawkat, Dustin Milligan, Angela Sarafyan, Emily Meade, Luke Bracey, Geena Davis, Jake McDorman, Casey Wilson, Rebecca Drysdale",NR,18th July 2016            ,"When TV star Brendan realizes he's gay, he asks his old pal Cory for help coming out. But Cory's own entanglements threaten to derail the mission.",Max Landis,1hr 37m,,"Romantic Comedies, Gay & Lesbian Films, Comedies",5.1/10,http://www.imdb.com/title/tt2507238/,https://art-s.nflximg.net/959d3/78d7d5c09eb2cea9f06625c4be7e832e82f959d3.jpg,2.9/5,2015
465,Me Late Chocolate ,"Karla Souza, Osvaldo Benavides, María Aura, Jorge Luis Moreno, Rodrigo Murray, Alexis Ayala, Leticia Fabián, Evangelina Elizondo, Carlo Guerra",NR,Unknown Date            ,"Moni loses her jealous and possessive boyfriend, Xavi, in an accident. Her friends try to help her start a new life and start dating again.",Joaquin Bissner,1hr 40m,,"International Comedies, Latin American Films, International Movies, Romantic Comedies, Comedies, Romantic Films",5.2/10,http://www.imdb.com/title/tt1880279/,https://art-s.nflximg.net/e12fe/55d0409f6e3e35ba507e6982e4bae24b275e12fe.jpg,3.7/5,2013
